,scc,p
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_unclassified,23186.0,4.029985675619305e-34
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Clostridiales_unclassified_unclassified;s__Clostridiales_unclassified_unclassified,4833.5,7.587660257621705e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacteriaceae_unclassified;s__Dehalobacteriaceae_unclassified,9048.5,9.062933163294452e-12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacteriaceae_unclassified;s__Eubacteriaceae_unclassified,7384.5,1.1756191450064025e-09
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_unclassified,46280.5,2.0482588998453935e-96
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Mogibacteriaceae;g__Mogibacteriaceae_unclassified;s__Mogibacteriaceae_unclassified,45136.5,2.868369004220208e-93
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcaceae_unclassified;s__Peptococcaceae_unclassified,20072.5,1.555579818827462e-28
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcaceae_unclassified;s__Peptostreptococcaceae_unclassified,40742.0,2.316536443622398e-78
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_unclassified;s__Ruminococcaceae_unclassified,33919.5,2.2516642716653858e-54
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Tissierellaceae;g__Tissierellaceae_unclassified;s__Tissierellaceae_unclassified,36400.5,2.0173681001026445e-65
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonellaceae_unclassified;s__Veillonellaceae_unclassified,46280.5,4.121822516996619e-97
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_unclassified;s__Erysipelotrichaceae_unclassified,38930.5,1.2019634836774938e-72
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacteriaceae_unclassified;s__Fusobacteriaceae_unclassified,45344.5,5.149711786744046e-94
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichiaceae_unclassified;s__Leptotrichiaceae_unclassified,43368.5,4.3144680201055105e-87
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae_unclassified;s__Victivallaceae_unclassified,2808.5,0.0002903084898097471
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenaceae_unclassified;s__Alcaligenaceae_unclassified,11795.5,6.022771513996833e-13
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderiaceae_unclassified;s__Burkholderiaceae_unclassified,36296.5,3.960999336814394e-65
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonadaceae_unclassified;s__Comamonadaceae_unclassified,7696.5,4.798492821128247e-10
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacteraceae_unclassified;s__Oxalobacteraceae_unclassified,5096.5,6.808380362425299e-07
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseriaceae_unclassified;s__Neisseriaceae_unclassified,44408.5,1.0870277684048003e-90
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrionaceae_unclassified;s__Desulfovibrionaceae_unclassified,17232.5,7.48760701108709e-23
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacteraceae_unclassified;s__Campylobacteraceae_unclassified,44512.5,4.686944959175691e-91
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacteriaceae_unclassified;s__Cardiobacteriaceae_unclassified,22880.5,1.0213297534845738e-33
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacteriaceae_unclassified;s__Enterobacteriaceae_unclassified,8216.5,1.0602381148601044e-10
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurellaceae_unclassified;s__Pasteurellaceae_unclassified,45032.5,6.745866528482451e-93
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxellaceae_unclassified;s__Moraxellaceae_unclassified,14560.5,1.6895112191179378e-19
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonadaceae_unclassified;s__Pseudomonadaceae_unclassified,8112.5,1.4363596059622592e-10
k__Bacteria;p__Proteobacteria;c__Proteobacteria_unclassified;o__Proteobacteria_unclassified;f__Proteobacteria_unclassified;g__Proteobacteria_unclassified_unclassified;s__Proteobacteria_unclassified_unclassified,-35446.5,4.660869946957221e-90
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistaceae_unclassified;s__Synergistaceae_unclassified,6240.5,2.957678975913739e-08
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__F16_unclassified;s__F16_unclassified,4576.5,2.7579808218047337e-06
k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045;g__Rs-045_unclassified;s__Rs-045_unclassified,2184.5,0.0014681846019825757
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobiaceae_unclassified;s__Verrucomicrobiaceae_unclassified,34054.0,6.744007397669106e-59
