project,metadata_feature,metadata_column,metadata_type,bacteria_name,correlation_coefficient,p_value,n_samples,p_value_fdr
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae",-0.11892636227430839,0.1341751499990422,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae",-0.17386010775693653,0.027898866080619367,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriales_incertae_sedis",0.021907732621754415,0.7833365436303171,160,0.9432807048027222
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae",0.06743897649875175,0.3968169113364118,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Segatella",0.038046252856872076,0.6328986940983282,160,0.8743890523840254
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola",-0.045076818875965145,0.5713945614225147,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Faecalibacterium",-0.018186013309269784,0.8194502486292388,160,0.9468955344704358
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes",0.05779564383699909,0.46787645268010813,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides",-0.012806680227939139,0.8723064063033403,160,0.9612202177739567
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides",-0.06206557576389643,0.4355846416796102,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Brotolimicola",-0.07170639787968927,0.36755054020045025,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter",0.0847355185896897,0.28672103480445926,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillibacter",0.03414396531252213,0.6681928902239274,160,0.8930560596428867
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Gemmiger",-0.04841146991839476,0.5432423394674539,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified",0.14947279764551433,0.05922955061674573,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium",0.060536628607643334,0.4469985700497702,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospira",-0.04593639322329531,0.5640723763460981,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister",0.05900344198069858,0.4586114495159528,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium",0.027350286432032463,0.7313663979451732,160,0.9243973776165582
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Ruminococcus",0.038599768633668624,0.6279564565154013,160,0.8708422871494472
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus",-0.017714624873615147,0.824053270258209,160,0.9468955344704358
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillospiraceae_unclassified",0.04406377679520703,0.5800811042436257,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Roseburia",0.06695941668503486,0.4001906179020425,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Mesosutterella",-0.12539687550925116,0.11411481746547275,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridiaceae_unclassified",0.0014215944080282802,0.9857657587569395,160,0.9975550456601965
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium",-0.11234814040217841,0.1572316518511169,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Anaerostipes",-0.0989955809657865,0.2129665351827509,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Lawsonibacter",-0.17386010775693653,0.027898866080619367,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Mediterraneibacter",-0.08186116999293852,0.30344187424715124,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Blautia",-0.05383069788430569,0.4990012586040822,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Fusicatenibacter",-0.03425257311777269,0.6672002274150587,160,0.8925212819610416
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9614",0.015201231141494943,0.8486936920209889,160,0.9523970270179153
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriales_incertae_sedis,g__Candidatus_Cibionibacter",0.021907732621754415,0.7833365436303171,160,0.9432807048027222
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila",0.0321237386656086,0.6867607484242907,160,0.9009614853012684
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9715",0.018679720190177853,0.8146358916581109,160,0.9468955344704358
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Faecalicatena",0.06905127462435011,0.3855996459464032,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Anaerotignum",0.08757525339818094,0.27081802246750464,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Eubacteriales_unclassified",-0.04057014177707242,0.6104982775019632,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea",-0.03695627456717647,0.642678342362781,160,0.8779863649921632
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Dakarella",-0.01364246989016623,0.8640507497013342,160,0.9591499284001221
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Oliverpabstia",0.09924269553862564,0.21182095340866347,160,0.8672995091000011
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Segatella,s__Segatella_copri",0.021624938166177762,0.786065516730564,160,0.9433472271477422
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii",-0.034937830788849294,0.6609504080440417,160,0.8872839596487013
PRJEB37731_Control_SG,host_body_mass_index,host_body_mass_index,numeric,"k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola_coprocola",-0.16261980267960596,0.03992110433488545,160,0.8672995091000011
