SampleID,Archaea;Euryarchaeota,Bacteria,Bacteria;Acidobacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Chlamydiae,Bacteria;Chloroflexi,Bacteria;Cyanobacteria,Bacteria;Firmicutes,Bacteria;Fusobacteria,Bacteria;Gemmatimonadetes,Bacteria;Lentisphaerae,Bacteria;Nitrospirae,Bacteria;Planctomycetes,Bacteria;Proteobacteria,Bacteria;Synergistetes,Bacteria;TM7,Bacteria;Tenericutes,Bacteria;Verrucomicrobia,Bacteria;WPS-2,Bacteria;[Thermi]
SRR33299549,0.0,0.0,0.1240938501607137,28.416817263704736,1.9570532100444566,0.0,0.23267596905133817,0.1551173127008921,2.8369713392577793,0.398873089802294,0.12691416493709354,0.0,0.11633798452566908,0.0,60.8303870549049,0.523520930365511,0.0,0.0,3.8158858924419454,0.0,0.46535193810267633
SRR33299550,0.0,0.0,0.43301186339058095,17.085142001171842,17.574755923498,0.0,0.2651093041166822,0.0,53.83443161725505,1.237176752544517,0.25305888120228753,0.0,0.0,0.0,3.5412446933788284,0.11598532055104847,0.2783647693225163,0.0,5.381718873568649,0.0,0.0
SRR33299551,0.0,0.0,0.255020943790791,45.54341420089886,30.30659680120204,0.0,0.27323672549013317,0.0,14.856969268926914,0.754653813258463,0.19871761853827866,0.0,0.0,0.0,5.900685240359955,0.06830918137253329,0.16394203529407989,0.039033817927161873,1.639420352940799,0.0,0.0
SRR33299552,0.5750896007756121,0.0,0.051119075624498855,0.23128603509453963,20.872191347254002,0.0,0.0,0.0,4.14362855595622,0.1916965335918707,0.0,0.03833930671837414,0.0,0.0,1.0697671724789788,0.14377240019390303,0.0,0.0684630477113824,72.61464692460062,0.0,0.0
SRR33299553,0.47450153558345154,0.0,0.101226994257803,0.20011586500693393,0.45237063392382815,0.0,0.14912905404051335,0.0,0.6326687141112688,0.15364811628416528,0.13803681035154955,0.0,0.0,0.23725076779172577,41.86845159969158,0.09490030711669031,0.11388036854002836,0.0,55.19401861906709,0.18980061423338063,0.0
SRR33299554,0.8661034263092906,0.0,0.016497208120176965,0.18917994094333365,1.704331135340417,0.0,0.0,0.04124302030044241,5.06096407296509,0.2003232414592917,0.0,3.0932265225331808,0.0,0.0,6.689710573676255,2.598310278927872,0.024745812180265447,0.10605348077256621,79.40931128647182,0.0,0.0
SRR33299555,0.0,0.23707978994878995,0.0,0.20615633908590433,0.12931624906297634,0.0,0.0,0.0,0.3216134665042819,0.1580531932991933,0.0,0.0,0.0,0.11853989497439497,92.3332548225276,0.0,0.04741595798975799,0.0,6.448570286607086,0.0,0.0
SRR33299556,0.0,0.8131751212273717,0.1084233494969829,4.374253611046756,33.609095590122074,0.0,0.0,0.0,19.783798284231707,4.440194312733585,0.0,0.0,0.0,0.2710583737424573,2.8222557266068584,0.13552918687122864,0.16263502424547435,0.19361312410175519,33.28596829557375,0.0,0.0
SRR33299557,0.0,0.0,0.15255687558106562,3.6118254850544402,23.832112502766417,0.0,0.02043172440817843,0.0,9.898921308391618,0.13621149605452282,0.10401605153254473,0.8009235968005943,0.0,0.0,3.1839819819306663,0.0,0.0,0.5925200078371744,57.66649896964279,0.0,0.0
SRR33299558,0.0,0.0,0.12137966964107638,3.641390089232291,6.795222513354922,0.0,0.09753723453300779,0.0,6.671652573477281,0.4985236431687066,0.04137943283218513,0.0,0.11379344028850909,0.0,75.77023591105731,3.1862163280782547,0.09103475223080729,1.3330088719511068,1.6386255401545309,0.0,0.0
