SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Firmicutes,Bacteria;Proteobacteria
SRR25445944_1,77.84210526315789,97.76066897347174,0.0,0.0,0.0,20.211267605633804
SRR25445945_1,107.00404858299595,84.78892733564014,0.0,0.0,0.0,1.0422535211267605
SRR25445948_1,76.93117408906883,82.68569780853518,0.0,0.0,0.0034934497816593887,3.8732394366197185
SRR25445949_1,40.22267206477733,79.25317185697808,0.0,0.0,0.0,0.056338028169014086
SRR25445950_1,20.692307692307693,94.77854671280276,0.0,0.0,0.0017467248908296944,0.19718309859154928
SRR25445952_1,42.43724696356275,109.0242214532872,0.0,0.0,0.0,1.0
SRR25445953_1,78.09311740890688,97.77393310265282,0.0,0.016129032258064516,0.0,0.09859154929577464
SRR25445954_1,58.86234817813765,107.70530565167243,0.0,0.0,0.0017467248908296944,1.8732394366197183
SRR25445955_1,32.445344129554655,58.33391003460208,0.02702702702702703,0.0,0.0,0.2676056338028169
SRR25445956_1,56.80161943319838,96.75259515570934,0.0,0.0,0.0,0.0
SRR25445958_1,35.364372469635626,71.94117647058823,0.0,0.021505376344086023,0.0,0.36619718309859156
SRR25445960_1,61.66801619433198,147.5755478662053,0.0,0.03225806451612903,0.0017467248908296944,1.0
SRR25445961_1,16.90688259109312,107.69896193771626,0.0,0.0,0.0,0.0
SRR25445962_1,68.4493927125506,136.89734717416377,0.0,0.0,0.0017467248908296944,23.591549295774648
SRR25445963_1,54.95141700404859,81.62860438292964,0.0,0.0,0.0,1.8169014084507042
SRR25445965_1,72.90688259109312,193.39388696655132,0.0,0.021505376344086023,0.0034934497816593887,1.1267605633802817
SRR25445967_1,58.522267206477736,85.82006920415225,0.0,0.0,0.0,2.3943661971830985
SRR25445971_1,68.78947368421052,101.7087658592849,0.0,0.0,0.005240174672489083,0.4084507042253521
SRR25445973_1,77.2753036437247,70.65801614763552,0.0,0.0,0.0,0.18309859154929578
SRR25445974_1,103.22267206477733,92.11476355247981,0.0,0.0,0.0,2.112676056338028
SRR25445975_1,47.11336032388664,109.13437139561707,0.0,0.0,0.0,0.0
SRR25445976_1,94.10931174089069,79.39561707035756,0.0,0.0,0.0017467248908296944,1.9859154929577465
SRR25445978_1,20.967611336032387,79.93137254901961,0.0,0.0,0.0,0.0
SRR25445979_1,98.29959514170041,88.59400230680508,0.0,0.0,0.0,0.8309859154929577
SRR25445980_1,2.6437246963562755,97.68915801614763,0.0,0.0,0.0,0.0
SRR25445985_1,50.68421052631579,120.07266435986159,0.0,0.016129032258064516,0.0017467248908296944,0.14084507042253522
SRR25445987_1,67.3157894736842,106.67762399077277,0.0,0.0,0.0026200873362445414,0.15492957746478872
SRR25445989_1,75.23886639676114,97.55478662053056,0.0,0.0,0.0,1.7746478873239437
SRR25445990_1,89.4251012145749,94.44232987312571,0.0,0.0,0.0017467248908296944,0.0
SRR25445991_1,330.10526315789474,114.63437139561707,0.0,0.010752688172043012,0.0,31.535211267605632
SRR25445993_1,45.57085020242915,77.18108419838524,0.0,0.0,0.0,6.971830985915493
SRR25445994_1,20.149797570850204,167.479815455594,0.0,0.0,0.005240174672489083,0.352112676056338
SRR25445995_1,52.63157894736842,76.6361014994233,0.0,0.010752688172043012,0.0017467248908296944,0.04225352112676056
SRR25445997_1,75.31983805668017,86.61418685121107,0.0,0.0,0.0017467248908296944,0.9859154929577465
SRR25445998_1,62.54655870445344,76.06055363321799,0.0,0.0,0.0026200873362445414,0.0
SRR25445999_1,91.62348178137651,110.3679354094579,0.0,0.0,0.0,0.11267605633802817
SRR25446000_1,78.10931174089069,75.59515570934256,0.0,0.0,0.0026200873362445414,8.295774647887324
SRR25446002_1,44.35222672064777,72.04555940023069,0.0,0.016129032258064516,0.0,23.549295774647888
SRR25446003_1,138.9919028340081,156.441753171857,0.0,0.021505376344086023,0.0,0.6197183098591549
SRR25446004_1,79.04453441295547,72.40715109573242,0.0,0.0,0.0,0.07042253521126761
SRR25446006_1,35.311740890688256,71.79354094579008,0.0,0.0,0.0017467248908296944,38.16901408450704
SRR25446008_1,18.48582995951417,140.0859284890427,0.0,0.016129032258064516,0.0,0.028169014084507043
SRR25446009_1,29.323886639676115,105.32583621683968,0.0,0.010752688172043012,0.0,0.14084507042253522
SRR25446010_1,73.71255060728745,121.25144175317186,0.0,0.0,0.0017467248908296944,4.788732394366197
SRR25446011_1,68.35222672064778,116.05363321799308,0.0,0.0,0.0017467248908296944,0.29577464788732394
SRR25446012_1,113.06072874493927,105.80680507497117,0.0,0.0,0.0026200873362445414,1.647887323943662
SRR25446013_1,111.0080971659919,114.18973471741637,0.0,0.0,0.0026200873362445414,4.464788732394366
SRR25446015_1,53.26315789473684,68.08650519031141,0.0,0.0,0.0,11.67605633802817
SRR25446016_1,102.91093117408907,116.4354094579008,0.0,0.0,0.0,4.23943661971831
SRR25446018_1,58.71255060728745,138.8114186851211,0.0,0.0,0.0026200873362445414,0.0
SRR25446019_1,96.63157894736842,118.26874279123415,0.0,0.010752688172043012,0.0,0.4225352112676056
SRR25446021_1,51.611336032388664,128.78546712802768,0.0,0.0,0.0017467248908296944,14.67605633802817
SRR25446022_1,17.502024291497975,117.01557093425606,0.0,0.0,0.0,0.09859154929577464
SRR25446023_1,81.26315789473684,84.71856978085351,0.0,0.0,0.0026200873362445414,0.2535211267605634
SRR25446026_1,79.92712550607287,80.6805074971165,0.0,0.0,0.0017467248908296944,0.18309859154929578
SRR25446028_1,15.477732793522268,88.77047289504037,0.0,0.0,0.0,0.16901408450704225
SRR25446030_1,166.51417004048582,147.32410611303345,0.0,0.0,0.0,3.1690140845070425
SRR25446031_1,163.16194331983806,163.80276816608998,0.0,0.010752688172043012,0.0,92.71830985915493
SRR25446032_1,75.09716599190283,81.84429065743944,0.0,0.021505376344086023,0.0017467248908296944,0.056338028169014086
SRR25446033_1,132.3846153846154,172.01845444059978,0.0,0.0,0.0,19.774647887323944
SRR25446037_1,44.008097165991906,101.64071510957324,0.0,0.010752688172043012,0.0026200873362445414,6.887323943661972
