SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Firmicutes,Bacteria;Proteobacteria
SRR25445944,39.753076199644056,49.925259727911715,0.0,0.0,0.0,10.321664072444223
SRR25445945,55.48988579206762,43.96962504308695,0.0,0.0,0.0,0.5404891648454391
SRR25445948,47.05454637855964,50.57427042346572,0.0,0.0,0.0021367501109750765,2.3690464478636524
SRR25445949,33.65007766831178,66.30279023115264,0.0,0.0,0.0,0.047132100535582755
SRR25445950,17.889121026987002,81.9388981702398,0.0,0.0,0.0015100960916272855,0.17047070668158718
SRR25445952,27.834735821600294,71.5093607489077,0.0,0.0,0.0,0.6559034294920123
SRR25445953,44.37568557460825,55.559125524949835,0.0,0.009165172141340994,0.0,0.056023728300591415
SRR25445954,34.9450401520486,63.94182948998078,0.0,0.0,0.0010369849884326785,1.112093372982186
SRR25445955,35.6252986016768,64.05119191486827,0.02967593452881164,0.0,0.0,0.29383354892612085
SRR25445956,36.991247413994174,63.00875258600583,0.0,0.0,0.0,0.0
SRR25445958,32.83805807436795,66.80193556121851,0.0,0.019969103026063445,0.0,0.34003726138747464
SRR25445960,29.326958900851075,70.18130781772372,0.0,0.01534070642558581,0.0008306758064509348,0.4755618991931603
SRR25445961,13.568290199408887,86.43170980059111,0.0,0.0,0.0,0.0
SRR25445962,29.898393455412293,59.79615868914559,0.0,0.0,0.0007629617440683686,10.304684893698045
SRR25445963,39.705663893463075,58.98151688212662,0.0,0.0,0.0,1.3128192244103236
SRR25445965,27.259746945784073,72.30961237415207,0.0,0.008040819964852739,0.0013061943349018423,0.4212936657641153
SRR25445967,39.882501219133765,58.48575556009714,0.0,0.0,0.0,1.6317432207690954
SRR25445971,40.2484914389555,59.50945940866793,0.0,0.0,0.0030660087095959123,0.23898314366697718
SRR25445973,52.17200394621556,47.70437802848495,0.0,0.0,0.0,0.12361802529949828
SRR25445974,52.27784942224534,46.65217090621593,0.0,0.0,0.0,1.06997967153875
SRR25445975,30.152988338073705,69.8470116619263,0.0,0.0,0.0,0.0
SRR25445976,53.62580333963346,45.241577781020794,0.0,0.0,0.0009953268571549474,1.1316235524885947
SRR25445978,20.780795334787015,79.21920466521298,0.0,0.0,0.0,0.0
SRR25445979,52.36373062077716,47.193607102070956,0.0,0.0,0.0,0.44266227715188156
SRR25445980,2.6349533920316675,97.36504660796834,0.0,0.0,0.0,0.0
SRR25445985,29.654526443100142,70.25260852202189,0.0,0.009436840559054412,0.0010219809863080765,0.08240621333258784
SRR25445987,38.65369921825882,61.2558334871767,0.0,0.0,0.0015044920161020672,0.08896280254838279
SRR25445989,43.09995916032417,55.88344854993728,0.0,0.0,0.0,1.016592289738567
SRR25445990,48.63517761836157,51.3638723992044,0.0,0.0,0.0009499824340379891,0.0
SRR25445991,69.30826046201697,24.068410162811425,0.0,0.002257613542315261,0.0,6.621071761629291
SRR25445993,35.1291454318908,59.496487762511784,0.0,0.0,0.0,5.374366805597425
SRR25445994,10.7187205649224,89.09118495216417,0.0,0.0,0.002787520213456133,0.18730696269995728
SRR25445995,40.6979497457466,59.25971194313584,0.0,0.008314634894292317,0.0013506743147060007,0.03267300190855713
SRR25445997,46.23070101069465,53.16307999214611,0.0,0.0,0.0010721254620212753,0.6051468716972198
SRR25445998,45.12421863182886,54.87389110600095,0.0,0.0,0.0018902621701994075,0.0
SRR25445999,45.33479768236133,54.60945082120547,0.0,0.0,0.0,0.05575149643318991
SRR25446000,48.214772681900584,46.66285193332148,0.0,0.0,0.0016173092875637787,5.120758075490375
SRR25446002,31.688489015539805,51.47464031630668,0.0,0.011523765531777112,0.0,16.825346902621728
SRR25446003,46.94484820143004,52.838576962207576,0.0,0.0072634923862681675,0.0,0.20931134397612217
SRR25446004,52.166997564510254,47.78652569614101,0.0,0.0,0.0,0.04647673934873234
SRR25446006,24.30665115015825,49.41870637321357,0.0,0.0,0.0012023488931946597,26.273440127734993
SRR25446008,11.654450607343534,88.31762154769457,0.0,0.010168599960485825,0.0,0.017759245001411864
SRR25446009,21.753411988746567,78.13412786776017,0.0,0.007976693494527757,0.0,0.10448344999874386
SRR25446010,36.90157725193773,60.7002390759919,0.0,0.0,0.0008744359402272816,2.3973092361301456
SRR25446011,37.006483712067265,62.83243565656274,0.0,0.0,0.0009456918863248256,0.16013493948366503
SRR25446012,51.27051197883931,47.981019822339015,0.0,0.0,0.0011881510109631578,0.7472800478107017
SRR25446013,48.33474008784767,49.72007708602973,0.0,0.0,0.0011408288551732642,1.9440419972674365
SRR25446015,40.039744288349326,51.182963328894594,0.0,0.0,0.0,8.777292382756086
SRR25446016,46.02749443147008,52.07639362803488,0.0,0.0,0.0,1.8961119404950526
SRR25446018,29.72387200713145,70.27480154494857,0.0,0.0,0.0013264479199847998,0.0
SRR25446019,44.87528867871487,54.92349428871508,0.0,0.004993502031623108,0.0,0.19622353053842917
SRR25446021,26.457229380896617,66.01857085416073,0.0,0.0,0.0008954137725286083,7.523304351170122
SRR25446022,13.001426285194595,86.92533471460959,0.0,0.0,0.0,0.07323900019581293
SRR25446023,48.8836619703431,50.96225688328055,0.0,0.0,0.0015761073898169315,0.15250503898651155
SRR25446026,49.708249006020445,50.17679206158926,0.0,0.0,0.001086322512771703,0.11387260987751262
SRR25446028,14.822969647305378,85.01516616508806,0.0,0.0,0.0,0.1618641876065664
SRR25446030,52.52692135737887,46.47341264688724,0.0,0.0,0.0,0.9996659957339072
SRR25446031,38.87642691285425,39.029115583952134,0.0,0.002562031852107248,0.0,22.09189547134151
SRR25446032,47.826178421622714,52.12313402340506,0.0,0.013695855928402148,0.001112414498988122,0.03587928454482816
SRR25446033,40.83704960314574,53.06300989913662,0.0,0.0,0.0,6.09994049771764
SRR25446037,28.848403024037694,66.62801852287897,0.0,0.007048654723899566,0.0017175324611074052,4.514812265898318
SRR25446038,63.30267406063034,34.78890750861718,0.0,0.0,0.0,1.9084184307524783
SRR25446040,45.73205616204316,53.95521431917088,0.0,0.0060042714531648445,0.0,0.3067252473328013
SRR25446041,45.548496648830834,54.4504427136945,0.0,0.0,0.0010606374746646846,0.0
SRR25446042,42.134369575097985,57.71611749445008,0.0,0.008499133756675542,0.0,0.14101379669526462
SRR25446043,63.93911821351279,30.412551068791636,0.0,0.0,0.0,5.64833071769557
SRR25446044,49.15152715948971,50.82336757953354,0.0,0.0,0.0,0.025105260976742177
SRR25446045,38.261574601333045,58.87892876502207,0.0,0.00578566675147434,0.004229347660248054,2.849481619233165
SRR25446046,60.348824034744744,39.524598546859785,0.0,0.0,0.0,0.12657741839547124
