SampleID,Unassigned,Bacteria,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;copri,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;onderdonkii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;albus,Bacteria;Proteobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;
SRR25446085,10.60360520828816,11.353146135591254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011158945728866909,0.0,0.0,0.0,78.04213276154769,0.0,0.0
SRR25446086,39.833551466268176,59.915381256877964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25106727685385893,0.0,0.0
SRR25446087,45.814794341208085,53.710037972876215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475167685915701,0.0,0.0
SRR25446090,6.744966373423821,90.4954096588305,0.0,0.2790630978619236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4805608698837656,0.0,0.0
SRR25446092,47.7573768557815,52.043347335409116,0.0,0.18535625523849827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007771750743752548,0.0,0.0,0.0,0.0,0.006147802827147538,0.0,0.0,0.0,0.0,0.0,0.0
SRR25446094,70.4660784480454,28.781813050521386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521085014332185,0.0,0.0
SRR25446095,38.854220020602284,49.996910984571116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005270779059381172,0.0,0.0,0.0,11.143598215767216,0.0,0.0
SRR25446098,21.741556908655067,63.30490649083104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.953536600513903,0.0,0.0
SRR25446099,6.691971426760455,22.68478972791428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.54391660027248,0.0,0.07932224505278015
SRR25446100,53.32631104399185,46.36317077945354,0.0,0.0,0.0,0.19407386034663815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11644431620798291,0.0,0.0,0.0,0.0,0.0
